คลื่นความถี่ (MHz),ผู้ใช้คลื่นความถี่,การนำไปใช้งาน
142.325,"กระทรวงพาณิชย์, กรมทะเบียนการค้า, กรมการค้าต่างประเทศ, กรมส่งเสริมการส่งออก","nan, ติดต่อสื่อสารราชการ"
142.35,กรมสื่อสารอิเล็กทรอนิกส์ทหารอากาศ กองทัพอากาศ,ติดต่อสื่อสารในการปฏิบัติงาน
142.375,กรมการทหารสื่อสาร กองทัพบก,ติดต่อสื่อสารราชการ
142.4,ธนาคารออมสิน,ติดต่อสื่อสารภารกิจของบริษัท
142.425,"องค์การบริหารส่วนตำบลวังจันทร์ (เพชรบุรี), เทศบาลตำบลหาดเจ้าสำราญ (เพชรบุรี), องค์การบริหารส่วนตำบลท่าแร้ง (เพชรบุรี), เทศบาลตำบลขุนแก้ว (นครปฐม), องค์การบริหารส่วนตำบลสวนกล้วย (ราชบุรี), องค์การบริหารส่วนตำบลห้วยไผ่ (ราชบุรี), เทศบาลตำบลเขาขวาง (ราชบุรี), องค์การบริหารส่วนตำบลวัดแก้ว (ราชบุรี), องค์การบริหารส่วนตำบลหนองชุมพล (เพชรบุรี), เทศบาลตำบลหินกอง (ราชบุรี), เทศบาลเมืองบ้านโป่ง, เทศบาลตำบลหนองโพ (ราชบุรี), องค์การบริหารส่วนตำบลสัมปทวน (นครปฐม), องค์การบริหารส่วนจังหวัดราชบุรี, องค์การบริหารส่วนตำบลห้วยลึก (เพชรบุรี), เทศบาลตำบลดอนยายหอม (นครปฐม), สำนักงานเทศบาลตำบลปากท่อ (ราชบุรี), องค์การบริหารส่วนตำบลบ้านบึง, เทศบาลตำบลเขาย้อย (เพชรบุรี), องค์การบริหารส่วนตำบลดงหม้อทอง, องค์การบริหารส่วนตำบลดงหม้อทอง, กรมท่าอากาศยาน, กระทรวงสาธารณสุข, สำนักงานเทศบาลตำบลชนบท, เทศบาลเมืองสามควายเผือก (นครปฐม), เทศบาลตำบลบ้านเลือก (ราชบุรี), องค์การบริหารส่วนตำบลโคกเคียน  อำเภอเมือง  จังหวัดนราธิวาส, เทศบาลเมืองบ้านสวน (ชลบุรี), องค์การบริหารส่วนตำบลกะลุวอ, องค์การบริหารส่วนตำบลสะดาวา, เทศบาลตำบลยางคำ, เทศบาลตำบลกุดชมภู, เทศบาลตำบลทับคล้อ, องค์การบริหารส่วนตำบลดงเจริญ, สำนักงานเทศบาลเมืองพนัสนิคม (ชลบุรี), องค์การบริหารส่วนตำบลพลูตาหลวง (ชลบุรี), องค์การบริหารส่วนตำบลบ้านไทร, องค์การบริหารส่วนตำบลวัดไทรย์, องค์การบริหารส่วนตำบลหนองนางนวล, องค์การบริหารส่วนตำบลโละจูด, องค์การบริหารส่วนตำบลหนองละลอก(ระยอง), องค์การบริหารส่วนตำบลตาเนาะปูเต๊ะ, องค์การบริหารส่วนตำบลเมืองแคน, องค์การบริหารส่วนตำบลตาเบา, องค์การบริหารส่วนตำบลลำภู, องค์การบริหารส่วนตำบลแม่ดง, องค์การบริหารส่วนตำบลขี้เหล็ก, องค์การบริหารส่วนตำบลมาบไผ่ (ชลบุรี), องค์การบริหารส่วนตำบลปะอาว, สำนักงานเทศบาลตำบลเกาะขวาง (จันทบุรี), องค์การบริหารส่วนตำบลธารทหาร, เทศบาลตำบลดอนหัวฬ่อ (ชลบุรี), สำนักงานเทศบาลตำบลบางกะจะ (จันทบุรี), องค์การบริหารส่วนตำบลลุโบะบายะ, เทศบาลตำบลสองพี่น้อง (จันทบุรี), องค์การบริหารส่วนตำบลนาประดู่, องค์การบริหารส่วนจังหวัดขอนแก่น, เทศบาลตำบลบ้านบึง (ชลบุรี), องค์การบริหารส่วนตำบลเอราวัณ, องค์การบริหารส่วนตำบลโต๊ะเด็ง, สำนักงานเทศบาลตำบลปาเสมัส, องค์การบริหารส่วนตำบลลิดล, องค์การบริหารส่วนตำบลคลองนารายณ์ (จันทบุรี), เทศบาลตำบลคอกช้าง, องค์การบริหารส่วนตำบลคมบาง (จันทบุรี), เทศบาลตำบลสว่างอารมณ์, องค์การบริหารส่วนตำบลวัดขวาง, องค์การบริหารส่วนตำบลคลองทราย, องค์การบริหารส่วนตำบลริโก๋, องค์การบริหารส่วนตำบลพร่อน, เทศบาลตำบลนายายอาม (จันทบุรี), เทศบาลตำบลเนินสูง (จันทบุรี), เทศบาลตำบลเนินสูง (จันทบุรี), องค์การบริหารส่วนตำบลยะลา, องค์การบริหารส่วนตำบลหัวดง, เทศบาลตำบลลำใหม่, องค์การบริหารส่วนตำบลลำพะยา, เทศบาลเมืองนราธิวาส, องค์การบริหารส่วนตำบลสุขฤทัย, องค์การบริหารส่วนตำบลคลองกิ่ว (ชลบุรี), องค์การบริหารส่วนตำบลปากทาง อำเภอเมืองพิจิตร จังหวัดพิจิตร, องค์การบริหารส่วนตำบลนาทอง, เทศบาลตำบลมะขาม (จันทบุรี), องค์การบริหารส่วนตำบลหนองสรวง, องค์การบริหารส่วนตำบลตะกาดเง้า  (จันทบุรี), องค์การบริหารส่วนตำบลไผ่เขียว, องค์การบริหารส่วนตำบลหนองฉาง, องค์การบริหารส่วนตำบลยางน้อย, สำนักงานเทศบาลตำบลมะรือโบตก, เทศบาลตำบลหัวถนน (ชลบุรี), เทศบาลตำบลหัวถนน (ชลบุรี), องค์การบริหารส่วนตำบลนาฝาย, องค์การบริหารส่วนตำบลบ้านแท่น, องค์การบริหารส่วนตำบลหนองอิรุณ (ชลบุรี), องค์การบริหารส่วนตำบลอุทัยเก่า, องค์การบริหารส่วนตำบลโนนสะอาด, เทศบาลเมืองศิลา, องค์การบริหารส่วนตำบลห้วยเตย, องค์การบริหารส่วนตำบลทุ่งพง, องค์การบริหารส่วนตำบลดินดำ, เทศบาลเมืองขลุง (จันทบุรี), องค์การบริหารส่วนตำบลภูผาม่าน, องค์การบริหารส่วนตำบลหัวขวาง, องค์การบริหารส่วนตำบลคำแคน, องค์การบริหารส่วนตำบลสงเปือย, องค์การบริหารส่วนตำบลโคกสมบูรณ์, องค์การบริหารส่วนตำบลทรายมูล, สำนักงานเทศบาลเมืองชลบุรี (ชลบุรี), องค์การบริหารส่วนตำบลนาชุมแสง, เทศบาลตำบลหนองฉาง, องค์การบริหารส่วนตำบลวังงิ้ว, องค์การบริหารส่วนตำบลภูฟ้า, เทศบาลตำบลแม่สาย, องค์การบริหารส่วนตำบลทุ่งศรีทอง, องค์การบริหารส่วนตำบลนาปัง, เทศบาลตำบลบ้านเหล่า, องค์การบริหารส่วนตำบลยาบหัวนา, ขอสำรองไว้ ดร.ณัฐวุฒิ (คภ), ความถี่กลาง, กรมสื่อสารอิเล็กทรอนิกส์ทหารอากาศ กองทัพอากาศ, สำนักงานศาลยุติธรรม, องค์การบริหารส่วนจังหวัดพิจิตร, กระทรวงดิจิทัลเพื่อเศรษฐกิจและสังคม, กรมป้องกันและบรรเทาสาธารณภัย, nan","ประสานงานร่วมกันของหน่วยงานของรัฐกับประชาชน, ประสานงานด้านป้องกันบรรเทาละสาธารณภัย, ติดต่อประสานงานระหว่างหน่วยราชการและรัฐวิสาหกิจ, ติดต่อสื่อสารราชการ, ภารกิจป้องกันและบรรเทาสาธารณภัย, ประสานงานร่วมระหว่างหน่วยงานของรัฐ, ประสานงานการแจ้งเหตุและช่วยเหลือผู้ประสบภัยสาธารณะ, nan, ประสานงานร่วมกับหน่วยงานรัฐอื่น"
142.45,บริษัท กสท โทรคมนาคม จำกัด (มหาชน),บริการวิทยุคมนาคมเฉพาะกิจ/ผ่านสถานีกลาง/โทรศัพท์สาธารณะ
142.475,บริษัท กสท โทรคมนาคม จำกัด (มหาชน),บริการวิทยุคมนาคมเฉพาะกิจ/ผ่านสถานีกลาง/โทรศัพท์สาธารณะ
142.5,"กิจการเกษตรกรรม, บริษัท น้ำตาลบุรีรัมย์ จำกัด, กิจการเกษตรกรรม",รักษาความปลอดภัย
142.525,"มหาวิทยาลัยสงขลานครินทร์, มหาวิทยาลัยเชียงใหม่, มหาวิทยาลัยขอนแก่น, มหาวิทยาลัยธรรมศาสตร์","รักษาความปลอดภัย, ติดต่อสื่อสารในการปฏิบัติงาน"
142.55,กรมการทหารสื่อสาร กองทัพบก,ติดต่อสื่อสารราชการ
142.6,กรมสื่อสารอิเล็กทรอนิกส์ทหารอากาศ กองทัพอากาศ,ติดต่อสื่อสารในการปฏิบัติงาน
142.625,องค์การผลิตอาหารสำเร็จรูป,ประสานงานในการผลิตไฟฟ้า
142.65,"กรมการทหารสื่อสาร กองทัพบก, องค์การสงเคราะห์ทหารผ่านศึก ในพระบรมราชูปถัมภ์","รักษาความปลอดภัย, ติดต่อสื่อสารราชการ"
142.675,บริษัท กสท โทรคมนาคม จำกัด (มหาชน),บริการวิทยุคมนาคมเฉพาะกิจ/ผ่านสถานีกลาง/โทรศัพท์สาธารณะ
142.7,มหาวิทยาลัยเกษตรศาสตร์,ติดต่อสื่อสารราชการ
142.725,บริษัท กสท โทรคมนาคม จำกัด (มหาชน),บริการวิทยุคมนาคมเฉพาะกิจ/ผ่านสถานีกลาง/โทรศัพท์สาธารณะ
142.75,กรมสื่อสารอิเล็กทรอนิกส์ทหารอากาศ กองทัพอากาศ,nan
142.775,"มหาวิทยาลัยสงขลานครินทร์, มหาวิทยาลัยศิลปากร",รักษาความปลอดภัย
142.8,"ธนาคารเพื่อการเกษตรและสหกรณ์การเกษตร, กรมสรรพสามิต",ประสานงาน
142.825,บริษัท กสท โทรคมนาคม จำกัด (มหาชน),บริการวิทยุคมนาคมเฉพาะกิจ/ผ่านสถานีกลาง/โทรศัพท์สาธารณะ
142.85,กรมสื่อสารอิเล็กทรอนิกส์ทหารอากาศ กองทัพอากาศ,nan
142.875,"มหาวิทยาลัยสงขลานครินทร์, มหาวิทยาลัยราชภัฏเชียงใหม่, มหาวิทยาลัยราชภัฏรำไพพรรณี, มหาวิทยาลัยธรรมศาสตร์","รักษาความปลอดภัย, ติดต่อสื่อสารราชการ, ติดต่อสื่อสารในการปฏิบัติงาน"
142.9,บริษัท วัชรพล (ไทยรัฐ) จำกัด,ประสานงาน
142.925,กิจการเกษตรกรรม,รักษาความปลอดภัย
142.95,บริษัท กสท โทรคมนาคม จำกัด (มหาชน),บริการวิทยุคมนาคมเฉพาะกิจ/ผ่านสถานีกลาง/โทรศัพท์สาธารณะ
142.975,"มหาวิทยาลัยขอนแก่น, กิจการสถานศึกษา, มหาวิทยาลัยพายัพ, กระทรวงยุติธรรม, มหาวิทยาลัยแม่โจ้, มหาวิทยาลัยมหิดล, มหาวิทยาลัยวลัยลักษณ์, กิจการสถานศึกษา, มหาวิทยาลัยพายัพ","ติดต่อสื่อสารในการปฏิบัติงาน, รักษาความปลอดภัย"
143.0,กรมราชองครักษ์,ติดต่อสื่อสารราชการ
143.025,จัดสรรทดแทนกรมการทหารสื่อสาร (ทบ.) คท. 11,nan
143.05,บริษัท ปตท. จำกัด (มหาชน),ประสานงาน
143.1,"กรมสื่อสารอิเล็กทรอนิกส์ทหารอากาศ กองทัพอากาศ, กรมการทหารสื่อสาร กองทัพบก","ติดต่อสื่อสารในการปฏิบัติงาน, ติดต่อสื่อสารราชการ"
143.125,กรมสื่อสารอิเล็กทรอนิกส์ทหารอากาศ กองทัพอากาศ,ติดต่อสื่อสารราชการ
143.15,"บริษัท ระยองสตาร์ จำกัด, โรงเรียน เซนต์จอห์น, บริษัท สยามกลการ จำกัด, บริษัท สยามธานีโฮเต็ล (1988) จำกัด, บริษัท ไทยซินเรียว จำกัด, บริษัท เลนโซ่ เทอร์มินอล จำกัด, บริษัท ราชบุรีเวอลด์ โคเจนเนอเรชั่น จำกัด, กิจการบริษัทเอกชน, กิจการบริษัทเอกชน, บริษัท เจริญศรีพลาซ่า จำกัด, บริษัท ทีโอเอเพ้นท์ (ประเทศไทย) จำกัด, บริษัท ฟาร์มโชคชัย จำกัด, บริษัท ฟีนิกซ์ กอล์ฟ แอนด์ คันทรีคลับ พัทยา จำกัด","รักษาความปลอดภัย, Security"
143.175,กระทรวงแรงงาน,ติดต่อสื่อสารราชการ
143.2,"บริษัท ปตท. จำกัด (มหาชน), บริษัท ปตท.สผ. อินเตอร์เนชั่นแนล จำกัด",ประสานงาน
143.25,กรมสื่อสารอิเล็กทรอนิกส์ทหารอากาศ กองทัพอากาศ,ติดต่อสื่อสารในการปฏิบัติงาน
143.3,จัดสรรทดแทนกรมการทหารสื่อสาร (ทบ.) คท. 11,nan
143.325,บริษัท ปตท. จำกัด (มหาชน),ประสานงาน
143.35,กรมสื่อสารอิเล็กทรอนิกส์ทหารอากาศ กองทัพอากาศ,ติดต่อสื่อสารในการปฏิบัติงาน
143.4,"จัดสรรทดแทนกรมการทหารสื่อสาร (ทบ.) คท. 11, สำนักงาน กสทช.","nan, ติดต่อสื่อสารในภารกิจของหน่วยงาน"
143.4125,จัดสรรทดแทนกรมการทหารสื่อสาร (ทบ.) คท. 11,nan
143.425,กรมสื่อสารอิเล็กทรอนิกส์ทหารอากาศ กองทัพอากาศ,ติดต่อสื่อสารราชการ
143.45,"สำนักงาน กสทช., สถาบันวิจัยจุฬาภรณ์","ประสานงาน, ติดต่อสื่อสารในภารกิจของหน่วยงาน"
143.475,"กรมการทหารสื่อสาร กองทัพบก, องค์การสงเคราะห์ทหารผ่านศึก ในพระบรมราชูปถัมภ์, องค์การสงเคราะห์ทหารผ่านศึก ในพระบรมราชูปถัมภ์","เครื่องเฝ้าตรวจระยะไกล, รักษาความปลอดภัย"
143.5,สำนักราชเลขาธิการ,ติดต่อสื่อสารราชการ
143.575,กรมการทหารสื่อสาร กองทัพบก,ติดต่อสื่อสารราชการ
143.65,กรมการทหารสื่อสาร กองทัพบก,ติดต่อสื่อสารราชการ
143.675,สำนักงาน กสทช.,ติดต่อสื่อสารในภารกิจของหน่วยงาน
143.7,"กิจการเกษตรกรรม, กิจการบริษัทเอกชน, บริษัท รัชดาแอนด์เฮ้าส์ จำกัด, บริษัท สรรพสินค้าตั้งฮั่วเส็ง จำกัด, บริษัท สนไทยยะลา จำกัด, บริษัท ส่งเสริมบริการ (เรือขาว) จำกัด, บริษัท อีซูซุมอเตอร์ (ประเทศไทย) จำกัด, ห้างหุ้นส่วนจำกัด สินทรัพย์คีรี, บริษัท ซันพาราเทค จำกัด (มหาชน), บริษัท ไทยพลาสติกและเคมีภัณฑ์ จำกัด (มหาชน), บริษัท น้ำตาลสระบุรี จำกัด, บริษัท ปัญญาพร็อพเพอร์ตี้ส์ จำกัด, มูลนิธิ มูลนิธิธรรมกาย, สมาคมชาวไร่อ้อยเขต 6 กำแพงเพชร, บริษัท อัลคาซ่าร์ จำกัด, บริษัท บางปะอิน โคเจนเนอเรชั่น จำกัด , บริษัท ออปอเรชั่นนอล เอ็นเนอร์ยี่ กรุ๊ป จำกัด, บริษัท สีมาอินเตอร์โปรดักส์ จำกัด ""สาขาที่ 00002"", กิจการเกษตรกรรม, กิจการบริษัทเอกชน","รักษาความปลอดภัย, Security"
143.75,"กรมสื่อสารอิเล็กทรอนิกส์ทหารอากาศ กองทัพอากาศ, กรมสื่อสารอิเล็กทรอนิกส์ทหารอากาศ","ติดต่อสื่อสารในการปฏิบัติงาน, ใช้ทอสอบในห้องทดลอง"
143.7625,ราชวิทยาลัยจุฬาภรณ์,ติดต่อสื่อสารในภารกิจของหน่วยงาน
143.775,กรมการทหารสื่อสาร กองทัพบก,ติดต่อสื่อสารราชการ
143.8,กรมสื่อสารอิเล็กทรอนิกส์ทหารอากาศ กองทัพอากาศ,ติดต่อสื่อสารราชการ
143.825,กรมสอบสวนคดีพิเศษ,ติดต่อสื่อสารราชการ
143.875,สำนักงาน กสทช.,ติดต่อสื่อสารราชการ
143.9,"สำนักงาน กสทช., สำนักงาน กสทช.","ติดต่อสื่อสารราชการ, ติดต่อสื่อสารในภารกิจของหน่วยงาน"
143.925,"สำนักงาน กสทช., Geofizyka Torun sp.Zo.o.(GT), สำนักงาน กสทช., บริษัท ซีเอ็นพีซีเอชเค (ไทยแลนด์) จำกัด, มิตราเอ็นเนอร์ยี่ ลิมิเต็ด, บริษัท ฮัลลิเบอร์ตันเอ็นเนอร์จีเซอร์วิสเซสอิงค์ จำกัด, บริษัท อดานิ เวลสปัน เอ็กซ์พลอเรชั่น จำกัด","ประสานงาน, ติดต่อสื่อสารในภารกิจของหน่วยงาน, ติดต่อสื่อสารราชการ, รักษาความปลอดภัย, สำรวจและผลิตปิโตรเลียม"
143.95,สำนักงาน กสทช.,ติดต่อสื่อสารราชการ
143.975,"สำนักงาน กสทช., Geofizyka Torun sp.Zo.o.(GT), สำนักงาน กสทช., มิตราเอ็นเนอร์ยี่ ลิมิเต็ด, บริษัท อดานิ เวลสปัน เอ็กซ์พลอเรชั่น จำกัด","ประสานงาน, ติดต่อสื่อสารในภารกิจของหน่วยงาน, ติดต่อสื่อสารราชการ, รักษาความปลอดภัย, สำรวจและผลิตปิโตรเลียม"
144.0,"กิจการวิทยุสมัครเล่น, กิจการวิทยุสมัครเล่น","nan, บรรเทาสาธารณภัย"
144.9,สำนักงาน กสทช.,ติดต่อสื่อสารในภารกิจของหน่วยงาน
145.0,"สำนักงาน กสทช., ความถี่กลาง","ประสานงานร่วมกันของหน่วยงานของรัฐกับประชาชน, ติดต่อสื่อสารในภารกิจของหน่วยงาน"
145.075,สำนักงาน กสทช.,ติดต่อสื่อสารในภารกิจของหน่วยงาน
145.675,สำนักงาน กสทช.,ติดต่อสื่อสารในภารกิจของหน่วยงาน
146.05,สมาคมวิทยุสมัครเล่นสมุทรสงคราม,ใช้กับสถานีทวนสัญญาณ และประสานงาน
146.175,กรมราชองครักษ์,ติดต่อสื่อสารราชการ
146.35,กรมสื่อสารอิเล็กทรอนิกส์ทหารอากาศ กองทัพอากาศ,ติดต่อสื่อสารราชการ
146.5,สำนักงาน กสทช.,ติดต่อสื่อสารราชการ
146.525,กรมพัฒนาพลังงานทดแทนและอนุรักษ์พลังงาน,ติดต่อสื่อสารราชการ
146.625,"สถาบันวิจัยจุฬาภรณ์, กรมราชองครักษ์",ติดต่อสื่อสารราชการ
146.675,สำนักงาน กสทช.,ติดต่อสื่อสารราชการ
147.025,"สำนักงานศาลรัฐธรรมนูญ, บริษัท โทรคมนาคมแห่งชาติ จำกัด (มหาชน)","nan, ติดต่อประสานงาน"
147.05,การไฟฟ้าฝ่ายผลิตแห่งประเทศไทย,ติดต่อสื่อสารราชการ
147.075,สำนักพระราชวัง,ติดต่อสื่อสารราชการ
147.1,การไฟฟ้าฝ่ายผลิตแห่งประเทศไทย,ติดต่อสื่อสารราชการ
147.1125,บริษัท โทรคมนาคมแห่งชาติ จำกัด (มหาชน),nan
147.125,บริษัท โทรคมนาคมแห่งชาติ จำกัด (มหาชน),nan
147.15,การไฟฟ้าฝ่ายผลิตแห่งประเทศไทย,ติดต่อสื่อสารราชการ
147.175,สำนักงานศาลยุติธรรม,ติดต่อสื่อสารราชการ
147.1875,บริษัท โทรคมนาคมแห่งชาติ จำกัด (มหาชน),nan
147.2,การไฟฟ้าฝ่ายผลิตแห่งประเทศไทย,ติดต่อสื่อสารราชการ
147.2125,บริษัท โทรคมนาคมแห่งชาติ จำกัด (มหาชน),nan
147.225,สำนักงานอัยการสูงสุด,ติดต่อสื่อสารราชการ
147.2375,บริษัท โทรคมนาคมแห่งชาติ จำกัด (มหาชน),nan
147.25,การไฟฟ้าฝ่ายผลิตแห่งประเทศไทย,ติดต่อสื่อสารราชการ
147.3,"สำนักงานพระพุทธศาสนา, กระทรวงศึกษาธิการ, โรงเรียนเทคโนโลยีกรุงเทพ",ประสานงาน
147.325,"สำนักงานพระพุทธศาสนา, โรงเรียนอรรถวิทย์, กระทรวงศึกษาธิการ, โรงเรียนเทคโนโลยีกรุงเทพ",ประสานงาน
147.3375,จัดสรรทดแทนกรมการทหารสื่อสาร (ทบ.) คท. 11,nan
147.35,จัดสรรทดแทนกรมการทหารสื่อสาร (ทบ.) คท. 11,nan
147.3625,จัดสรรทดแทนกรมการทหารสื่อสาร (ทบ.) คท. 11,nan
147.375,จัดสรรทดแทนกรมการทหารสื่อสาร (ทบ.) คท. 11,nan
147.3875,จัดสรรทดแทนกรมการทหารสื่อสาร (ทบ.) คท. 11,nan
147.4,"สำนักงานพระพุทธศาสนา, กระทรวงศึกษาธิการ",ประสานงาน
147.425,"องค์การบริหารส่วนตำบลวังจันทร์ (เพชรบุรี), เทศบาลตำบลหาดเจ้าสำราญ (เพชรบุรี), องค์การบริหารส่วนตำบลท่าแร้ง (เพชรบุรี), องค์การบริหารส่วนตำบลสวนกล้วย (ราชบุรี), องค์การบริหารส่วนตำบลห้วยไผ่ (ราชบุรี), เทศบาลตำบลเขาขวาง (ราชบุรี), องค์การบริหารส่วนตำบลวัดแก้ว (ราชบุรี), องค์การบริหารส่วนตำบลหนองชุมพล (เพชรบุรี), เทศบาลตำบลหินกอง (ราชบุรี), เทศบาลเมืองบ้านโป่ง, เทศบาลตำบลหนองโพ (ราชบุรี), องค์การบริหารส่วนตำบลสัมปทวน (นครปฐม), องค์การบริหารส่วนจังหวัดราชบุรี, องค์การบริหารส่วนตำบลห้วยลึก (เพชรบุรี), เทศบาลตำบลดอนยายหอม (นครปฐม), สำนักงานเทศบาลตำบลปากท่อ (ราชบุรี), องค์การบริหารส่วนตำบลบ้านบึง, เทศบาลตำบลเขาย้อย (เพชรบุรี), องค์การบริหารส่วนตำบลดงหม้อทอง, องค์การบริหารส่วนตำบลดงหม้อทอง, กรมท่าอากาศยาน, กระทรวงสาธารณสุข, สำนักงานเทศบาลตำบลชนบท, เทศบาลเมืองสามควายเผือก (นครปฐม), เทศบาลตำบลบ้านเลือก (ราชบุรี), องค์การบริหารส่วนตำบลโคกเคียน  อำเภอเมือง  จังหวัดนราธิวาส, เทศบาลเมืองบ้านสวน (ชลบุรี), องค์การบริหารส่วนตำบลกะลุวอ, องค์การบริหารส่วนตำบลสะดาวา, เทศบาลตำบลยางคำ, เทศบาลตำบลกุดชมภู, เทศบาลตำบลทับคล้อ, องค์การบริหารส่วนตำบลดงเจริญ, สำนักงานเทศบาลเมืองพนัสนิคม (ชลบุรี), องค์การบริหารส่วนตำบลพลูตาหลวง (ชลบุรี), องค์การบริหารส่วนตำบลบ้านไทร, องค์การบริหารส่วนตำบลวัดไทรย์, องค์การบริหารส่วนตำบลหนองนางนวล, องค์การบริหารส่วนตำบลโละจูด, องค์การบริหารส่วนตำบลหนองละลอก(ระยอง), องค์การบริหารส่วนตำบลตาเนาะปูเต๊ะ, องค์การบริหารส่วนตำบลเมืองแคน, องค์การบริหารส่วนตำบลตาเบา, องค์การบริหารส่วนตำบลลำภู, องค์การบริหารส่วนตำบลแม่ดง, องค์การบริหารส่วนตำบลขี้เหล็ก, องค์การบริหารส่วนตำบลมาบไผ่ (ชลบุรี), องค์การบริหารส่วนตำบลปะอาว, สำนักงานเทศบาลตำบลเกาะขวาง (จันทบุรี), องค์การบริหารส่วนตำบลธารทหาร, เทศบาลตำบลดอนหัวฬ่อ (ชลบุรี), สำนักงานเทศบาลตำบลบางกะจะ (จันทบุรี), องค์การบริหารส่วนตำบลลุโบะบายะ, เทศบาลตำบลสองพี่น้อง (จันทบุรี), องค์การบริหารส่วนตำบลนาประดู่, องค์การบริหารส่วนจังหวัดขอนแก่น, เทศบาลตำบลบ้านบึง (ชลบุรี), องค์การบริหารส่วนตำบลเอราวัณ, องค์การบริหารส่วนตำบลโต๊ะเด็ง, สำนักงานเทศบาลตำบลปาเสมัส, องค์การบริหารส่วนตำบลลิดล, องค์การบริหารส่วนตำบลคลองนารายณ์ (จันทบุรี), เทศบาลตำบลคอกช้าง, องค์การบริหารส่วนตำบลคมบาง (จันทบุรี), เทศบาลตำบลสว่างอารมณ์, องค์การบริหารส่วนตำบลวัดขวาง, องค์การบริหารส่วนตำบลคลองทราย, องค์การบริหารส่วนตำบลริโก๋, องค์การบริหารส่วนตำบลพร่อน, เทศบาลตำบลนายายอาม (จันทบุรี), เทศบาลตำบลเนินสูง (จันทบุรี), องค์การบริหารส่วนตำบลยะลา, องค์การบริหารส่วนตำบลหัวดง, เทศบาลตำบลลำใหม่, องค์การบริหารส่วนตำบลลำพะยา, เทศบาลเมืองนราธิวาส, องค์การบริหารส่วนตำบลสุขฤทัย, องค์การบริหารส่วนตำบลคลองกิ่ว (ชลบุรี), องค์การบริหารส่วนตำบลปากทาง อำเภอเมืองพิจิตร จังหวัดพิจิตร, องค์การบริหารส่วนตำบลนาทอง, เทศบาลตำบลมะขาม (จันทบุรี), องค์การบริหารส่วนตำบลหนองสรวง, องค์การบริหารส่วนตำบลตะกาดเง้า  (จันทบุรี), องค์การบริหารส่วนตำบลไผ่เขียว, องค์การบริหารส่วนตำบลหนองฉาง, องค์การบริหารส่วนตำบลยางน้อย, สำนักงานเทศบาลตำบลมะรือโบตก, เทศบาลตำบลหัวถนน (ชลบุรี), องค์การบริหารส่วนตำบลนาฝาย, องค์การบริหารส่วนตำบลบ้านแท่น, องค์การบริหารส่วนตำบลอุทัยเก่า, องค์การบริหารส่วนตำบลโนนสะอาด, เทศบาลเมืองศิลา, องค์การบริหารส่วนตำบลห้วยเตย, องค์การบริหารส่วนตำบลทุ่งพง, องค์การบริหารส่วนตำบลดินดำ, เทศบาลเมืองขลุง (จันทบุรี), องค์การบริหารส่วนตำบลภูผาม่าน, องค์การบริหารส่วนตำบลหัวขวาง, องค์การบริหารส่วนตำบลโนนอุดม, องค์การบริหารส่วนตำบลคำแคน, องค์การบริหารส่วนตำบลสงเปือย, องค์การบริหารส่วนตำบลโคกสมบูรณ์, องค์การบริหารส่วนตำบลทรายมูล, สำนักงานเทศบาลเมืองชลบุรี (ชลบุรี), เทศบาลตำบลหนองฉาง, องค์การบริหารส่วนตำบลวังงิ้ว, องค์การบริหารส่วนตำบลภูฟ้า, เทศบาลตำบลแม่สาย, องค์การบริหารส่วนตำบลทุ่งศรีทอง, องค์การบริหารส่วนตำบลนาปัง, เทศบาลตำบลบ้านเหล่า, องค์การบริหารส่วนตำบลยาบหัวนา, องค์การบริหารส่วนจังหวัดพิจิตร, สำนักงานศาลยุติธรรม, กระทรวงดิจิทัลเพื่อเศรษฐกิจและสังคม, กรมป้องกันและบรรเทาสาธารณภัย, ความถี่กลาง, กรมสื่อสารอิเล็กทรอนิกส์ทหารอากาศ กองทัพอากาศ, nan, nan, nan","ประสานงานร่วมกันของหน่วยงานของรัฐกับประชาชน, ประสานงานด้านป้องกันบรรเทาละสาธารณภัย, ติดต่อประสานงานระหว่างหน่วยราชการและรัฐวิสาหกิจ, ติดต่อสื่อสารราชการ, ภารกิจป้องกันและบรรเทาสาธารณภัย, ประสานงานร่วมระหว่างหน่วยงานของรัฐ, ประสานงานการแจ้งเหตุและช่วยเหลือผู้ประสบภัยสาธารณะ, nan, ประสานงานร่วมกับหน่วยงานรัฐอื่น"
147.45,"สำนักงานพระพุทธศาสนา, กระทรวงศึกษาธิการ",ประสานงาน
147.475,เทศบาลตำบลขุนแก้ว (นครปฐม),ติดต่อสื่อสารราชการ
147.5,จัดสรรทดแทนกรมการทหารสื่อสาร (ทบ.) คท. 11,nan
147.525,จัดสรรทดแทนกรมการทหารสื่อสาร (ทบ.) คท. 11,nan
147.575,สำนักงานศาลรัฐธรรมนูญ,ประสานงาน
147.7,"สำนักงานพระพุทธศาสนา, กระทรวงศึกษาธิการ",ประสานงาน
147.8,กรมสื่อสารอิเล็กทรอนิกส์ทหารอากาศ กองทัพอากาศ,ติดต่อสื่อสารในการปฏิบัติงาน
148.0,"กรมการทหารสื่อสาร กองทัพบก, บริษัท ทีโอที จำกัด (มหาชน), สำนักงานตำรวจแห่งชาติ","ประสานงาน, ติดต่อสื่อสารราชการ"
